1	411	3856	-3181
6	271	3741	-3097
11	64	3946	-2979
16	-99	4323	-2909
21	-137	4878	-2961
26	-64	5583	-3244
31	80	6296	-4197
36	135	6584	-5350
41	325	6252	-6142
46	568	5563	-6262
51	1012	4972	-6010
56	1186	4752	-5140
61	1388	4091	-4230
66	1584	3398	-3628
71	1813	2792	-3110
76	2035	2101	-2190
81	2114	1066	-1512
101	2156	-84	-108
101	2170	-84	-110
106	2154	-80	-101
111	2140	-85	-123
116	2131	-81	-135
121	2125	-73	-126
126	2121	-66	-150
131	2108	-61	-146
136	2110	-47	-139
141	2097	-45	-155
146	2094	-32	-173
151	2095	-26	-157
156	2085	-17	-164
161	2087	-3	-168
166	2095	-1	-176
171	2089	18	-161
176	2087	14	-146
181	2093	19	-163
186	2096	34	-158
191	2105	36	-162
196	2107	35	-152
201	2106	39	-139
206	2115	51	-140
211	2116	46	-138
216	2111	45	-134
221	2119	47	-122
226	2120	48	-126
231	2122	43	-110
236	2116	45	-112
241	2119	41	-108
246	2128	52	-95
251	2122	51	-92
256	2115	50	-85
261	2113	45	-87
266	2104	27	-75
271	2109	32	-63
276	2095	35	-68
281	2088	18	-55
286	1415	9061	20349
291	-887	1297	1346
296	-346	1278	295
301	179	-49	712
306	232	-152	1419
311	-113	-331	1110
316	-423	-462	762
321	-1555	-472	2117
326	-1405	-398	2994
331	-853	-300	3020
336	-788	247	3037
341	-939	624	2886
346	-979	571	2700
351	-876	345	2372
356	-913	229	2241
361	-911	86	2151
366	-806	-124	1796
371	-717	-192	1427
376	-553	-31	1001
381	-366	153	710
386	-303	266	659
391	-153	340	864
396	22	421	1133
401	91	500	1339
406	45	255	1512
411	87	-178	1587
416	234	-500	1536
421	357	-677	1410
426	459	-763	1317
431	564	-810	1253
436	571	-854	1219
441	552	-1026	1246
446	662	-1323	1417
451	758	-1717	1489
456	773	-1988	1570
461	735	-1911	1514
466	663	-1699	1489
471	651	-1574	1535
476	676	-1458	1596
481	778	-1367	1662
486	894	-1303	1777
491	873	-1331	1884
496	818	-1394	1947
501	816	-1521	1983
506	808	-1631	1897
511	848	-1841	1781
516	885	-2101	1755
521	840	-2291	1796
526	887	-2595	1913
531	903	-2846	2156
536	793	-2990	2468
541	745	-3119	2664
546	710	-3366	2877
551	620	-3762	3121
556	588	-4209	3343
561	724	-4736	3531
566	909	-5187	3807
571	1175	-5653	4379
576	1424	-6014	5297
